2026-07-14 09:37: Experiment log path in: C:\Users\student\paperTest\DHFORMER\experiments\METRLA\20260714093719
2026-07-14 16:39: Horizon 02, MAE: 3.30, RMSE: 8.44, MAPE: 7.7400%, R2: 0.8629
2026-07-14 16:39: Horizon 03, MAE: 3.78, RMSE: 9.68, MAPE: 8.8610%, R2: 0.8198
2026-07-14 16:39: Horizon 04, MAE: 4.24, RMSE: 10.76, MAPE: 9.8808%, R2: 0.7773
2026-07-14 16:39: Horizon 05, MAE: 4.67, RMSE: 11.70, MAPE: 10.8326%, R2: 0.7364
2026-07-14 16:39: Horizon 06, MAE: 5.08, RMSE: 12.52, MAPE: 11.7229%, R2: 0.6982
2026-07-14 16:39: Horizon 07, MAE: 5.46, RMSE: 13.27, MAPE: 12.6026%, R2: 0.6613
2026-07-14 16:39: Horizon 08, MAE: 5.83, RMSE: 13.92, MAPE: 13.4171%, R2: 0.6273
2026-07-14 16:39: Horizon 09, MAE: 6.17, RMSE: 14.48, MAPE: 14.1922%, R2: 0.5965
2026-07-14 16:39: Horizon 10, MAE: 6.47, RMSE: 14.97, MAPE: 14.9281%, R2: 0.5688
2026-07-14 16:39: Horizon 11, MAE: 6.76, RMSE: 15.42, MAPE: 15.6666%, R2: 0.5422
2026-07-14 16:39: Horizon 12, MAE: 7.06, RMSE: 15.85, MAPE: 16.3759%, R2: 0.5166
2026-07-14 16:39: Average Horizon, MAE: 5.13, RMSE: 12.62, MAPE: 11.8812%, R2: 0.6933
2026-07-14 16:39: Model Parameters: 262348
2026-07-14 16:39: Results exported successfully to c:\Users\student\paperTest\results_agcrn.csv
