2026-07-18 09:31: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260718093150
2026-07-18 21:16: Train Epoch 12: 20/374 Loss: 0.217094
2026-07-18 21:17: Train Epoch 12: 40/374 Loss: 0.227080
2026-07-18 21:19: Train Epoch 12: 60/374 Loss: 0.265540
2026-07-18 21:21: Train Epoch 12: 80/374 Loss: 0.252183
2026-07-18 21:22: Train Epoch 12: 100/374 Loss: 0.202491
2026-07-18 21:24: Train Epoch 12: 120/374 Loss: 0.207570
2026-07-18 21:25: Train Epoch 12: 140/374 Loss: 0.281744
2026-07-18 21:28: Train Epoch 12: 160/374 Loss: 0.329070
2026-07-18 21:29: Train Epoch 12: 180/374 Loss: 0.213184
2026-07-18 21:31: Train Epoch 12: 200/374 Loss: 0.208924
2026-07-18 21:32: Train Epoch 12: 220/374 Loss: 0.164463
2026-07-18 21:34: Train Epoch 12: 240/374 Loss: 0.217701
2026-07-18 21:35: Train Epoch 12: 260/374 Loss: 0.226866
2026-07-18 21:37: Train Epoch 12: 280/374 Loss: 0.194482
2026-07-18 21:38: Train Epoch 12: 300/374 Loss: 0.248918
2026-07-18 21:39: Train Epoch 12: 320/374 Loss: 0.202346
2026-07-18 21:41: Train Epoch 12: 340/374 Loss: 0.218941
2026-07-18 21:42: Train Epoch 12: 360/374 Loss: 0.265291
2026-07-18 21:43: **********Train Epoch 12: averaged Loss: 0.223655, tf_ratio: 1.000000
2026-07-18 21:44: **********Val Epoch 12: average Loss: 0.225402
2026-07-18 21:44: Train Epoch 13: 0/374 Loss: 0.188392
2026-07-18 21:45: Train Epoch 13: 20/374 Loss: 0.238435
2026-07-18 21:47: Train Epoch 13: 40/374 Loss: 0.246077
2026-07-18 21:48: Train Epoch 13: 60/374 Loss: 0.236667
2026-07-18 21:50: Train Epoch 13: 80/374 Loss: 0.177771
2026-07-18 21:51: Train Epoch 13: 100/374 Loss: 0.239838
2026-07-18 21:52: Train Epoch 13: 120/374 Loss: 0.233792
2026-07-18 21:54: Train Epoch 13: 140/374 Loss: 0.202139
2026-07-18 21:55: Train Epoch 13: 160/374 Loss: 0.260179
2026-07-18 21:57: Train Epoch 13: 180/374 Loss: 0.261850
2026-07-18 21:58: Train Epoch 13: 200/374 Loss: 0.280945
2026-07-18 22:00: Train Epoch 13: 220/374 Loss: 0.242286
2026-07-18 22:01: Train Epoch 13: 240/374 Loss: 0.230026
2026-07-18 22:02: Train Epoch 13: 260/374 Loss: 0.247530
2026-07-18 22:04: Train Epoch 13: 280/374 Loss: 0.170171
2026-07-18 22:05: Train Epoch 13: 300/374 Loss: 0.251982
2026-07-18 22:06: Train Epoch 13: 320/374 Loss: 0.232165
2026-07-18 22:08: Train Epoch 13: 340/374 Loss: 0.225074
2026-07-18 22:09: Train Epoch 13: 360/374 Loss: 0.223409
2026-07-18 22:10: **********Train Epoch 13: averaged Loss: 0.223396, tf_ratio: 1.000000
2026-07-18 22:11: **********Val Epoch 13: average Loss: 0.225441
2026-07-18 22:11: Train Epoch 14: 0/374 Loss: 0.181946
2026-07-18 22:12: Train Epoch 14: 20/374 Loss: 0.281103
2026-07-18 22:14: Train Epoch 14: 40/374 Loss: 0.244168
2026-07-18 22:15: Train Epoch 14: 60/374 Loss: 0.215842
2026-07-18 22:16: Train Epoch 14: 80/374 Loss: 0.193597
2026-07-18 22:18: Train Epoch 14: 100/374 Loss: 0.259803
2026-07-18 22:19: Train Epoch 14: 120/374 Loss: 0.202644
2026-07-18 22:20: Train Epoch 14: 140/374 Loss: 0.188788
2026-07-18 22:21: Train Epoch 14: 160/374 Loss: 0.223925
2026-07-18 22:23: Train Epoch 14: 180/374 Loss: 0.226555
2026-07-18 22:24: Train Epoch 14: 200/374 Loss: 0.204984
2026-07-18 22:25: Train Epoch 14: 220/374 Loss: 0.273766
2026-07-18 22:27: Train Epoch 14: 240/374 Loss: 0.199758
2026-07-18 22:28: Train Epoch 14: 260/374 Loss: 0.208207
2026-07-18 22:30: Train Epoch 14: 280/374 Loss: 0.226228
2026-07-18 22:31: Train Epoch 14: 300/374 Loss: 0.220757
2026-07-18 22:32: Train Epoch 14: 320/374 Loss: 0.201769
2026-07-18 22:34: Train Epoch 14: 340/374 Loss: 0.178555
2026-07-18 22:35: Train Epoch 14: 360/374 Loss: 0.197886
2026-07-18 22:36: **********Train Epoch 14: averaged Loss: 0.223164, tf_ratio: 1.000000
2026-07-18 22:37: **********Val Epoch 14: average Loss: 0.224123
2026-07-18 22:37: *********************************Current best model saved!
2026-07-18 22:37: Train Epoch 15: 0/374 Loss: 0.193817
2026-07-18 22:38: Train Epoch 15: 20/374 Loss: 0.252276
2026-07-18 22:40: Train Epoch 15: 40/374 Loss: 0.247267
2026-07-18 22:41: Train Epoch 15: 60/374 Loss: 0.198439
2026-07-18 22:43: Train Epoch 15: 80/374 Loss: 0.201648
2026-07-18 22:44: Train Epoch 15: 100/374 Loss: 0.267417
2026-07-18 22:45: Train Epoch 15: 120/374 Loss: 0.203971
2026-07-18 22:47: Train Epoch 15: 140/374 Loss: 0.246654
2026-07-18 22:48: Train Epoch 15: 160/374 Loss: 0.346222
2026-07-18 22:50: Train Epoch 15: 180/374 Loss: 0.217819
2026-07-18 22:51: Train Epoch 15: 200/374 Loss: 0.189583
2026-07-18 22:52: Train Epoch 15: 220/374 Loss: 0.206399
2026-07-18 22:54: Train Epoch 15: 240/374 Loss: 0.194229
2026-07-18 22:55: Train Epoch 15: 260/374 Loss: 0.199951
2026-07-18 22:57: Train Epoch 15: 280/374 Loss: 0.181078
2026-07-18 22:58: Train Epoch 15: 300/374 Loss: 0.209458
2026-07-18 22:59: Train Epoch 15: 320/374 Loss: 0.216954
2026-07-18 23:01: Train Epoch 15: 340/374 Loss: 0.226390
2026-07-18 23:02: Train Epoch 15: 360/374 Loss: 0.223587
2026-07-18 23:03: **********Train Epoch 15: averaged Loss: 0.223080, tf_ratio: 1.000000
2026-07-18 23:04: **********Val Epoch 15: average Loss: 0.228470
2026-07-18 23:04: Train Epoch 16: 0/374 Loss: 0.221566
2026-07-18 23:06: Train Epoch 16: 20/374 Loss: 0.210051
2026-07-18 23:07: Train Epoch 16: 40/374 Loss: 0.219220
2026-07-18 23:09: Train Epoch 16: 60/374 Loss: 0.285837
2026-07-18 23:10: Train Epoch 16: 80/374 Loss: 0.185557
2026-07-18 23:12: Train Epoch 16: 100/374 Loss: 0.173547
2026-07-18 23:13: Train Epoch 16: 120/374 Loss: 0.249157
2026-07-18 23:15: Train Epoch 16: 140/374 Loss: 0.239147
2026-07-18 23:16: Train Epoch 16: 160/374 Loss: 0.183456
2026-07-18 23:18: Train Epoch 16: 180/374 Loss: 0.180258
2026-07-18 23:19: Train Epoch 16: 200/374 Loss: 0.251393
2026-07-18 23:21: Train Epoch 16: 220/374 Loss: 0.218002
2026-07-18 23:22: Train Epoch 16: 240/374 Loss: 0.244823
2026-07-18 23:24: Train Epoch 16: 260/374 Loss: 0.181330
2026-07-18 23:25: Train Epoch 16: 280/374 Loss: 0.228798
2026-07-18 23:27: Train Epoch 16: 300/374 Loss: 0.215256
2026-07-18 23:28: Train Epoch 16: 320/374 Loss: 0.262823
2026-07-18 23:30: Train Epoch 16: 340/374 Loss: 0.224431
2026-07-18 23:31: Train Epoch 16: 360/374 Loss: 0.177471
2026-07-18 23:32: **********Train Epoch 16: averaged Loss: 0.223525, tf_ratio: 1.000000
