2026-07-12 21:55: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506
2026-07-13 06:45: Train Epoch 13: 320/374 Loss: 3.995187
2026-07-13 06:46: Train Epoch 13: 340/374 Loss: 5.495226
2026-07-13 06:47: Train Epoch 13: 360/374 Loss: 4.422503
2026-07-13 06:47: **********Train Epoch 13: averaged Loss: 4.517832, tf_ratio: 1.000000
2026-07-13 06:48: **********Val Epoch 13: average Loss: 4.564627
2026-07-13 06:48: Train Epoch 14: 0/374 Loss: 4.247973
2026-07-13 06:49: Train Epoch 14: 20/374 Loss: 4.281926
2026-07-13 06:50: Train Epoch 14: 40/374 Loss: 5.224816
2026-07-13 06:51: Train Epoch 14: 60/374 Loss: 4.205900
2026-07-13 06:52: Train Epoch 14: 80/374 Loss: 4.162213
2026-07-13 06:53: Train Epoch 14: 100/374 Loss: 4.031473
2026-07-13 06:53: Train Epoch 14: 120/374 Loss: 4.334019
2026-07-13 06:54: Train Epoch 14: 140/374 Loss: 4.827240
2026-07-13 06:55: Train Epoch 14: 160/374 Loss: 4.965343
2026-07-13 06:56: Train Epoch 14: 180/374 Loss: 4.361119
2026-07-13 06:57: Train Epoch 14: 200/374 Loss: 4.928563
2026-07-13 06:58: Train Epoch 14: 220/374 Loss: 5.263681
2026-07-13 06:59: Train Epoch 14: 240/374 Loss: 4.146749
2026-07-13 07:00: Train Epoch 14: 260/374 Loss: 4.761935
2026-07-13 07:01: Train Epoch 14: 280/374 Loss: 4.279393
2026-07-13 07:02: Train Epoch 14: 300/374 Loss: 4.342303
2026-07-13 07:03: Train Epoch 14: 320/374 Loss: 5.089477
2026-07-13 08:25: Train Epoch 14: 340/374 Loss: 4.418967
2026-07-13 08:26: Train Epoch 14: 360/374 Loss: 4.167343
2026-07-13 08:26: **********Train Epoch 14: averaged Loss: 4.500430, tf_ratio: 1.000000
2026-07-13 08:27: **********Val Epoch 14: average Loss: 4.547557
2026-07-13 08:27: *********************************Current best model saved!
2026-07-13 08:27: Train Epoch 15: 0/374 Loss: 4.290040
2026-07-13 08:28: Train Epoch 15: 20/374 Loss: 3.753602
2026-07-13 08:29: Train Epoch 15: 40/374 Loss: 4.447284
